,scores,steps
682,-10,52441
683,-10,52504
684,-10,52666
685,-10,52716
686,-10,52807
687,-10,52864
688,-10,52926
689,-10,53021
690,-10,53114
691,-10,53173
692,-10,53342
693,-10,53446
694,-10,53489
695,-10,53534
696,-10,53577
697,-10,53681
698,-10,53741
699,-10,53991
700,-10,54076
701,-10,54210
702,-10,54317
703,-10,54512
704,-10,54635
705,-10,54689
706,-10,54803
707,-10,54857
708,-10,55019
709,-10,55165
710,-10,55254
711,-10,55297
712,-10,55389
713,-10,55436
714,-10,55575
715,-10,55632
716,-10,55758
717,-10,55873
718,-10,55954
719,-10,56007
720,-10,56063
721,100,56093
722,-10,56194
723,-10,56286
724,-10,56347
725,-10,56395
726,-10,56452
727,-10,56498
728,-10,56600
729,100,56689
730,100,56694
731,-10,56818
732,-10,57028
733,100,57142
734,-10,57275
735,100,57276
736,-10,57320
737,-10,57422
738,-10,57469
739,-10,57713
740,-10,57900
741,-10,57958
742,-10,58070
743,-10,58117
744,-10,58171
745,-10,58389
746,-10,58584
747,-10,58633
748,-10,58733
749,-10,58781
750,100,58832
751,-10,58876
752,-10,59041
753,-10,59291
754,-10,59459
755,-10,59577
756,-10,59701
757,100,59748
758,-10,59891
759,-10,59946
760,-10,60167
761,-10,60276
762,-10,60320
763,-10,60366
764,-10,60428
765,-10,60525
766,-10,60574
767,-10,60641
768,100,60737
769,-10,60899
770,-10,61149
771,-10,61224
772,-10,61270
773,-10,61372
774,-10,61437
775,-10,61687
776,-10,61885
777,-10,62019
778,-10,62095
779,-10,62345
780,-10,62595
781,-10,62845
782,-10,63095
783,-10,63231
784,-10,63464
785,-10,63714
786,-10,63964
787,-10,64214
788,-10,64464
789,-10,64714
790,100,64787
791,-10,65037
792,100,65117
793,-10,65367
794,-10,65617
795,100,65704
796,-10,65954
797,-10,66204
798,-10,66454
799,-10,66704
800,-10,66954
801,-10,67204
802,-10,67382
803,-10,67632
804,100,67639
805,-10,67889
806,100,67988
807,-10,68238
808,-10,68488
809,-10,68738
810,-10,68988
811,-10,69238
812,-10,69488
813,-10,69738
814,-10,69988
815,-10,70238
816,-10,70488
817,-10,70539
818,-10,70789
819,-10,71039
820,-10,71289
821,-10,71539
822,-10,71789
823,100,71877
824,-10,72127
