,scores,steps
786,-10,12598
787,100,12605
788,100,12611
789,100,12615
790,100,12622
791,100,12633
792,100,12637
793,100,12648
794,-10,12665
795,100,12669
796,-10,12674
797,100,12678
798,-10,12702
799,-10,12726
800,-10,12733
801,-10,12751
802,100,12760
803,-10,12812
804,-10,12821
805,100,12835
806,-10,12844
807,-10,12851
808,100,12855
809,100,12859
810,-10,12874
811,100,12878
812,100,12888
813,-10,12900
814,100,12904
815,-10,12914
816,100,12918
817,-10,12940
818,100,12946
819,100,12950
820,-10,12963
821,100,12967
822,100,12999
823,100,13009
824,100,13013
825,100,13017
826,-10,13053
827,-10,13061
828,-10,13072
829,100,13081
830,100,13085
831,100,13088
832,100,13093
833,100,13115
834,-10,13125
835,-10,13130
836,-10,13146
837,-10,13162
838,-10,13167
839,-10,13172
840,100,13176
841,100,13180
842,100,13187
843,100,13195
844,-10,13216
845,100,13223
846,-10,13237
847,-10,13245
848,-10,13271
849,100,13275
850,-10,13281
851,100,13300
852,100,13304
853,100,13308
854,100,13317
855,100,13320
856,100,13324
857,-10,13346
858,-10,13362
859,100,13366
860,100,13369
861,100,13373
862,100,13381
863,-10,13396
864,100,13400
865,-10,13432
866,100,13441
867,-10,13489
868,-10,13502
869,-10,13522
870,100,13526
871,100,13530
872,-10,13543
873,-10,13553
874,-10,13562
875,100,13566
876,-10,13587
877,-10,13611
878,100,13622
879,100,13640
880,-10,13646
881,100,13652
882,100,13655
883,-10,13663
884,100,13666
885,100,13674
886,-10,13681
887,100,13685
888,-10,13743
889,100,13749
890,100,13753
891,-10,13758
892,100,13762
893,100,13766
894,100,13772
895,-10,13790
896,-10,13812
897,100,13816
898,-10,13838
899,-10,13876
900,100,13884
901,-10,13899
902,100,13905
903,-10,13934
904,100,13953
905,100,13979
906,-10,13992
907,-10,13999
908,-10,14005
909,100,14009
910,100,14014
911,100,14018
912,100,14021
913,-10,14036
914,100,14039
915,100,14047
916,100,14061
917,100,14078
918,100,14082
919,100,14091
920,100,14099
921,-10,14106
922,100,14111
923,-10,14123
924,-10,14130
925,-10,14144
926,100,14153
927,-10,14173
928,100,14176
929,-10,14188
930,100,14192
931,100,14201
932,100,14204
933,100,14207
934,100,14218
935,-10,14228
936,100,14232
937,-10,14255
938,-10,14267
939,-10,14282
940,100,14287
941,100,14308
942,100,14324
943,100,14331
944,-10,14339
945,100,14343
946,100,14349
947,100,14355
948,100,14363
949,100,14367
950,-10,14393
951,100,14401
952,100,14405
953,-10,14414
954,-10,14427
955,-10,14438
956,100,14442
957,100,14449
958,100,14457
959,100,14470
960,-10,14490
961,-10,14499
962,-10,14511
963,100,14515
964,-10,14530
965,-10,14555
966,100,14572
967,100,14576
968,100,14604
969,100,14608
970,-10,14614
971,-10,14624
972,100,14628
973,-10,14645
974,100,14649
975,100,14657
976,100,14673
977,-10,14685
978,100,14693
979,-10,14704
980,100,14712
981,-10,14717
982,-10,14741
983,100,14746
984,100,14753
985,100,14756
986,-10,14761
987,-10,14770
988,100,14776
989,-10,14781
990,-10,14786
991,100,14792
992,100,14796
993,100,14804
994,-10,14808
995,100,14814
996,-10,14822
997,100,14851
998,100,14861
999,100,14865
1000,100,14869
1001,100,14873
1002,-10,14881
1003,100,14884
1004,100,14888
1005,-10,14900
1006,-10,14926
1007,100,14929
1008,100,14937
1009,100,14944
1010,100,14952
1011,100,14960
1012,-10,14965
1013,100,14969
1014,-10,14978
1015,100,14983
1016,100,14987
1017,-10,15005
1018,100,15008
1019,100,15011
1020,100,15015
1021,100,15022
1022,100,15027
1023,-10,15033
1024,100,15038
1025,-10,15051
1026,-10,15058
1027,-10,15088
1028,100,15093
1029,100,15097
1030,-10,15111
1031,100,15119
1032,-10,15143
1033,-10,15155
1034,100,15176
1035,100,15179
1036,100,15183
1037,100,15187
1038,100,15209
1039,100,15213
1040,100,15217
1041,-10,15223
1042,100,15230
1043,100,15238
1044,100,15242
1045,-10,15256
1046,-10,15263
1047,100,15267
1048,-10,15272
1049,-10,15297
1050,100,15301
1051,-10,15313
1052,-10,15319
1053,100,15324
1054,100,15328
1055,100,15337
1056,-10,15349
1057,-10,15356
1058,-10,15362
1059,-10,15367
1060,100,15371
1061,-10,15385
1062,100,15401
1063,100,15407
1064,-10,15421
1065,100,15428
1066,100,15433
1067,100,15436
1068,-10,15464
1069,-10,15480
1070,-10,15485
1071,-10,15504
1072,-10,15509
1073,-10,15514
1074,100,15518
1075,-10,15540
1076,-10,15563
1077,100,15569
1078,-10,15589
1079,100,15593
1080,-10,15598
1081,100,15602
1082,-10,15608
1083,-10,15616
1084,100,15620
1085,100,15625
1086,-10,15640
1087,100,15643
1088,100,15649
1089,100,15653
1090,100,15657
1091,100,15661
1092,100,15666
1093,-10,15678
1094,-10,15693
1095,-10,15699
1096,100,15703
1097,100,15706
1098,100,15713
1099,-10,15743
1100,100,15747
1101,100,15754
1102,-10,15767
1103,100,15770
1104,-10,15776
1105,-10,15784
1106,-10,15788
1107,100,15795
1108,-10,15802
1109,100,15805
1110,-10,15812
1111,100,15838
1112,100,15842
1113,-10,15855
1114,100,15859
1115,-10,15865
1116,-10,15882
1117,100,15890
1118,100,15893
1119,100,15896
1120,100,15901
1121,-10,15906
1122,-10,15917
1123,100,15922
1124,100,15926
1125,100,15939
1126,-10,15953
1127,-10,15965
1128,100,15970
1129,100,15973
1130,-10,15981
1131,100,15985
1132,-10,16002
1133,100,16006
1134,100,16016
1135,-10,16022
1136,-10,16044
1137,100,16047
1138,100,16051
1139,-10,16069
1140,-10,16078
1141,-10,16091
1142,100,16094
1143,-10,16105
1144,-10,16123
1145,100,16131
1146,100,16135
1147,100,16152
1148,-10,16163
1149,100,16167
1150,-10,16176
1151,100,16183
1152,-10,16203
1153,-10,16214
1154,-10,16220
1155,100,16223
1156,100,16227
1157,-10,16236
1158,-10,16243
1159,-10,16255
1160,100,16259
1161,100,16263
1162,100,16272
1163,100,16277
1164,-10,16295
1165,-10,16308
1166,100,16313
1167,-10,16319
1168,100,16326
1169,-10,16342
1170,-10,16364
1171,100,16369
1172,100,16373
1173,100,16378
1174,100,16385
1175,100,16389
1176,100,16396
1177,100,16400
1178,100,16403
1179,-10,16420
1180,-10,16426
1181,-10,16440
1182,-10,16458
1183,-10,16489
1184,100,16492
1185,100,16496
1186,-10,16507
1187,100,16516
1188,100,16540
1189,100,16544
1190,100,16549
1191,100,16562
1192,100,16568
1193,100,16572
1194,100,16575
1195,100,16579
1196,100,16582
1197,100,16595
1198,-10,16601
1199,100,16605
1200,100,16611
1201,-10,16622
1202,-10,16644
1203,100,16653
1204,100,16657
1205,100,16660
1206,-10,16671
1207,100,16688
1208,-10,16701
1209,-10,16706
1210,100,16713
1211,-10,16724
1212,-10,16752
1213,-10,16763
1214,100,16767
1215,100,16771
1216,100,16777
1217,100,16785
1218,-10,16810
1219,-10,16816
1220,-10,16830
1221,-10,16848
1222,-10,16859
1223,-10,16872
1224,100,16881
1225,-10,16897
1226,-10,16903
1227,-10,16911
1228,100,16916
1229,-10,16927
1230,100,16931
1231,-10,16960
1232,100,16963
1233,-10,16979
1234,100,16983
1235,100,16987
1236,-10,17011
1237,100,17017
1238,100,17021
1239,-10,17026
1240,-10,17040
1241,100,17045
1242,100,17053
1243,-10,17088
1244,100,17094
1245,-10,17100
1246,100,17105
1247,100,17109
1248,100,17115
1249,-10,17134
1250,100,17138
1251,-10,17152
1252,100,17155
1253,-10,17172
1254,100,17182
1255,-10,17206
1256,100,17210
1257,-10,17233
1258,100,17241
1259,-10,17250
1260,100,17254
1261,100,17261
1262,100,17267
1263,-10,17286
1264,100,17311
1265,-10,17332
1266,100,17357
1267,-10,17379
1268,-10,17391
1269,100,17396
1270,-10,17415
1271,-10,17435
1272,100,17438
1273,100,17445
1274,100,17448
1275,100,17455
1276,-10,17472
1277,-10,17488
1278,-10,17496
1279,100,17501
1280,-10,17513
1281,100,17524
1282,100,17527
1283,100,17548
1284,100,17553
1285,100,17560
1286,100,17563
1287,100,17570
1288,100,17574
1289,-10,17589
1290,-10,17601
1291,100,17606
1292,100,17609
1293,-10,17622
1294,100,17629
1295,-10,17645
1296,100,17662
1297,-10,17677
1298,100,17681
1299,100,17709
1300,100,17717
1301,100,17730
1302,100,17746
1303,100,17750
1304,-10,17774
1305,-10,17780
1306,-10,17785
1307,-10,17792
1308,100,17802
1309,-10,17815
1310,100,17820
1311,-10,17833
1312,100,17838
1313,100,17843
1314,-10,17854
1315,-10,17875
1316,100,17879
1317,100,17892
1318,-10,17913
1319,100,17920
1320,-10,17934
1321,-10,17946
1322,100,17950
1323,100,17957
1324,100,17969
1325,100,17977
1326,100,17982
1327,100,17989
1328,-10,17999
1329,-10,18006
1330,100,18010
1331,-10,18021
1332,-10,18032
1333,-10,18046
1334,-10,18050
1335,-10,18062
1336,100,18069
1337,100,18073
1338,-10,18078
1339,-10,18088
1340,100,18131
1341,-10,18148
1342,100,18155
1343,100,18158
1344,100,18163
1345,-10,18168
1346,-10,18177
1347,100,18180
1348,100,18188
1349,100,18192
1350,-10,18205
1351,-10,18223
1352,100,18228
1353,-10,18239
1354,-10,18257
1355,100,18275
1356,100,18279
1357,100,18282
1358,-10,18289
1359,100,18293
1360,100,18296
1361,100,18303
1362,100,18306
1363,100,18309
1364,-10,18316
1365,-10,18324
1366,100,18331
1367,100,18334
1368,-10,18342
1369,100,18347
1370,100,18361
1371,100,18364
1372,100,18371
1373,100,18399
1374,100,18411
1375,100,18415
1376,-10,18423
1377,100,18430
1378,100,18433
1379,-10,18442
1380,100,18447
1381,100,18450
1382,100,18454
1383,100,18457
1384,100,18464
1385,100,18467
1386,-10,18488
1387,100,18493
1388,100,18504
1389,100,18517
1390,100,18529
1391,100,18533
1392,100,18545
1393,100,18550
1394,100,18557
1395,-10,18574
1396,-10,18582
1397,-10,18602
1398,-10,18609
1399,-10,18620
1400,100,18634
1401,100,18647
1402,-10,18651
1403,100,18656
1404,-10,18670
1405,100,18675
1406,-10,18696
1407,100,18700
1408,-10,18705
1409,100,18709
1410,100,18716
1411,100,18721
1412,100,18730
1413,100,18734
1414,-10,18741
1415,100,18746
1416,100,18751
1417,100,18758
1418,100,18765
1419,100,18772
1420,100,18777
1421,100,18790
1422,100,18797
1423,100,18822
1424,-10,18827
1425,-10,18832
1426,100,18836
1427,100,18846
1428,100,18850
1429,100,18857
1430,100,18860
1431,100,18865
1432,-10,18876
1433,100,18880
1434,100,18883
1435,100,18887
1436,-10,18898
1437,100,18902
1438,100,18924
1439,100,18928
1440,-10,18938
1441,100,18947
1442,100,18960
1443,100,18966
1444,100,18971
1445,-10,18987
1446,100,18994
1447,100,18997
1448,-10,19011
1449,100,19014
1450,100,19019
1451,-10,19035
1452,100,19038
1453,100,19045
1454,100,19050
1455,100,19053
1456,-10,19065
1457,-10,19082
1458,-10,19099
1459,-10,19107
1460,100,19111
1461,100,19118
1462,100,19129
1463,100,19137
1464,100,19142
1465,100,19149
1466,100,19156
1467,-10,19177
1468,-10,19182
1469,100,19192
1470,-10,19201
1471,-10,19209
1472,100,19213
1473,100,19217
1474,100,19220
1475,100,19224
1476,100,19228
1477,100,19231
1478,100,19238
1479,100,19243
1480,100,19248
1481,-10,19253
1482,100,19257
1483,100,19262
1484,100,19269
1485,100,19273
1486,100,19280
1487,100,19284
1488,-10,19297
1489,100,19302
1490,100,19309
1491,100,19314
1492,100,19317
1493,-10,19323
1494,100,19334
1495,100,19345
1496,-10,19354
1497,-10,19359
1498,-10,19369
1499,100,19379
1500,100,19386
1501,100,19391
1502,100,19395
1503,100,19398
1504,100,19405
1505,-10,19428
1506,100,19432
1507,100,19439
1508,100,19447
1509,100,19454
1510,100,19458
1511,100,19465
1512,100,19472
1513,100,19475
1514,-10,19484
1515,100,19494
1516,100,19499
1517,100,19504
1518,-10,19509
1519,-10,19521
1520,100,19525
1521,100,19535
1522,-10,19543
1523,-10,19556
1524,-10,19562
1525,-10,19572
1526,100,19577
1527,-10,19582
1528,100,19590
1529,-10,19595
1530,-10,19600
1531,100,19604
1532,100,19608
1533,100,19615
1534,-10,19622
1535,100,19629
1536,-10,19637
1537,100,19640
1538,-10,19652
1539,100,19659
1540,100,19664
1541,-10,19673
1542,100,19677
1543,-10,19703
1544,-10,19709
1545,100,19712
1546,-10,19724
1547,-10,19734
1548,100,19739
1549,-10,19756
1550,100,19765
1551,100,19769
1552,100,19774
1553,100,19778
1554,100,19791
1555,100,19798
1556,100,19802
1557,-10,19816
1558,100,19820
1559,100,19825
1560,-10,19834
1561,100,19839
1562,100,19849
1563,-10,19858
1564,100,19878
1565,100,19885
1566,100,19890
1567,100,19897
1568,100,19904
1569,100,19908
1570,100,19918
1571,-10,19923
1572,-10,19938
1573,-10,19944
1574,100,19949
1575,100,19973
1576,-10,19987
1577,-10,19997
1578,100,20000
1579,100,20005
1580,-10,20011
1581,-10,20016
1582,100,20021
1583,100,20028
1584,100,20045
1585,100,20052
1586,100,20061
1587,100,20068
1588,100,20075
1589,100,20082
1590,100,20087
1591,-10,20102
1592,100,20107
1593,100,20112
1594,100,20119
1595,100,20123
1596,-10,20136
1597,100,20144
1598,-10,20149
1599,-10,20161
1600,100,20166
1601,100,20189
1602,-10,20197
1603,100,20201
1604,-10,20206
1605,100,20215
1606,100,20219
1607,100,20226
1608,-10,20235
1609,100,20251
1610,100,20258
1611,100,20263
1612,100,20276
1613,-10,20283
1614,100,20288
1615,100,20292
1616,-10,20308
1617,100,20315
1618,100,20326
1619,100,20329
1620,100,20334
1621,100,20339
1622,100,20346
1623,100,20356
1624,100,20361
1625,100,20370
1626,100,20374
1627,100,20381
1628,-10,20386
1629,100,20393
1630,100,20396
1631,100,20404
1632,100,20411
1633,100,20421
1634,100,20430
1635,-10,20441
1636,100,20444
1637,100,20451
1638,100,20456
1639,-10,20462
1640,100,20466
1641,100,20470
1642,100,20475
1643,100,20478
1644,100,20482
1645,100,20487
1646,100,20491
1647,100,20502
1648,100,20516
1649,100,20525
1650,-10,20537
1651,100,20542
1652,100,20545
1653,-10,20560
1654,-10,20568
1655,100,20573
1656,-10,20579
1657,-10,20590
1658,-10,20599
1659,100,20608
1660,100,20612
1661,100,20616
1662,-10,20627
1663,-10,20632
1664,-10,20638
1665,100,20642
1666,-10,20656
1667,100,20661
1668,100,20666
1669,100,20674
1670,-10,20680
1671,100,20683
1672,100,20688
1673,-10,20697
1674,100,20704
1675,100,20715
1676,100,20720
1677,100,20725
1678,100,20728
1679,100,20733
1680,100,20738
1681,100,20743
1682,100,20752
1683,100,20757
1684,100,20762
1685,100,20772
1686,100,20779
1687,100,20783
1688,100,20788
1689,100,20797
1690,100,20802
1691,100,20807
1692,100,20814
1693,100,20824
1694,100,20829
1695,100,20833
1696,100,20836
1697,100,20841
1698,100,20851
1699,-10,20860
1700,100,20867
1701,100,20871
1702,-10,20888
1703,100,20893
1704,100,20900
1705,-10,20912
1706,100,20922
1707,100,20932
1708,-10,20942
1709,100,20946
1710,100,20949
1711,100,20953
1712,100,20963
1713,100,20970
1714,100,20973
1715,100,20983
1716,-10,20991
1717,100,20995
1718,-10,21000
1719,100,21016
1720,-10,21022
1721,-10,21028
1722,100,21031
1723,100,21035
1724,100,21040
1725,100,21043
1726,100,21054
1727,-10,21064
1728,100,21077
1729,100,21084
1730,100,21089
1731,-10,21094
1732,100,21103
1733,100,21108
1734,100,21113
1735,-10,21129
1736,100,21139
1737,100,21144
1738,100,21151
1739,100,21156
1740,100,21163
1741,100,21168
1742,100,21172
1743,100,21177
1744,100,21187
1745,100,21197
1746,100,21202
1747,100,21207
1748,100,21217
1749,100,21227
1750,-10,21236
1751,-10,21245
1752,100,21249
